"species","commonname"
"Dunalia brachyacantha",""
"Duparquetia orchidacea","mbom batolo [yaoundé]"
"Duperrea pavettifolia",""
"Duranta armata",""
"Duranta costaricensis",""
"Duranta dombeyana",""
"Duranta erecta","Yellow bush; Sky Flower; Glorietita, celosa, cola de novia, coralillo, cólera de novio, espina, espina blanca, espino, espino blanco, garbancilla, k'an pok'ool che' (Maya), k'an-pok'ol-che (Maya), kampokolché (Maya), velo de novia, x-kambokoche (Maya), x-kambokolche (Maya), zarza; Ramo de novia, Xham pok olche, Xkanpoh'lche, X kampokolche, Xkapokolche, Velo de María, Xkampokol'che, K'anpokolche', K'anpokkolche, K'anpok'olché, K'anpok'ol che', K'ampolol ché, K' ampok'olché, K' anpok olché, Colera de novia blanca, Cola de novia, Campoolché, Colera de novia lila, Capocoche, Garbancillo, Dzipeche, Espino blanco, Duranta, Corona de la novia, Espina blanca, Kan pok lol ché, Kan pok kolche', Kan pok kolche, Kan pokkolche, Kampukulché, Kanpoh'che, Kanpok kolche, Kanpocolche, Kitinché, Pokol che, Pay lu'uk, Perla, celosa, cola de novia, coralillo, cólera de novio, espina, espina blanca, espino, espino blanco, garbancilla, k'an pok'ool che' (Maya), k'an-pok'ol-che (Maya), kampokolché (Maya), velo de novia, x-kambokoche (Maya), x-kambokolche (Maya), zarza; garbancillo, celosa, cola de novia, coralillo, cólera de novio, espina, espina blanca, espino, espino blanco, garbancilla, k'an pok'ool che' (Maya), k'an-pok'ol-che (Maya), kampokolché (Maya), velo de novia, x-kambokoche (Maya), x-kambokolche (Maya), zarza; celosa, cola de novia, coralillo, cólera de novio, espina, espina blanca, espino, espino blanco, garbancilla, k'an pok'ool che' (Maya), k'an-pok'ol-che (Maya), kampokolché (Maya), velo de novia, x-kambokoche (Maya), x-kambokolche (Maya), zarza; Cúcano; campocolche, celosa, cola de novia, coralillo, cólera de novio, espina, espina blanca, espino, espino blanco, garbancilla, k'an pok'ool che' (Maya), k'an-pok'ol-che (Maya), kampokolché (Maya), velo de novia, x-kambokoche (Maya), x-kambokolche (Maya), zarza"
"Duranta mutisii","Guapante; Garbancillo; Cúcano.; Espino; Espino garbanzo; Garbanzo; garbancillo; espino; Corono"
"Duranta obtusifolia",""
"Duranta serratifolia",""
"Duranta triacantha",""
"Duranta vestita",""
"Durio affinis",""
"Durio beccarianus",""
"Durio carinatus",""
"Durio crassipes",""
"Durio dulcis",""
"Durio graveolens",""
"Durio kinabaluensis",""
"Durio kutejensis",""
"Durio lanceolatus",""
"Durio lowianus",""
"Durio macrantha",""
"Durio macrophyllus",""
"Durio malaccensis",""
"Durio oblongus",""
"Durio oxleyanus",""
"Durio pinangianus",""
"Durio singaporensis",""
"Durio testudinarius",""
"Durio wyatt-smithii",""
"Durio zibethinus","Durian | durian hutan"
"Duroia amapana",""
"Duroia aquatica",""
"Duroia bolivarensis",""
"Duroia costaricensis",""
"Duroia duckei",""
"Duroia eriopila",""
"Duroia fusifera",""
"Duroia genipoides","Caruto | Pepa de monte"
"Duroia gransabanensis",""
"Duroia hirsuta","Carutillo; Turmemico; Soliman; Jigüa; Soliman | Amigo del diablo | Turmaemico | Kaai | Huevas de tigre | Mata maleza | Turma de mico | Matamonte | Soliman | Turme-mico; Turme perro; Táparo"
"Duroia kotchubaeoides",""
"Duroia laevis",""
"Duroia longiflora",""
"Duroia longifolia",""
"Duroia macrophylla",""
"Duroia maguirei",""
"Duroia martiniana",""
"Duroia merumensis",""
"Duroia micrantha","Caruto; Guayabo de monte; Caimo"
"Duroia nitida",""
"Duroia paraensis",""
"Duroia paruensis",""
"Duroia petiolaris",""
"Duroia plicata",""
"Duroia prancei",""
"Duroia saccifera",""
"Duroia sancti-ciprianii",""
"Duroia soejartoi",""
"Duroia triflora",""
"Duroia valesca",""
"Duroia velutina",""
"Dussia atropurpurea",""
"Dussia coriacea",""
"Dussia discolor",""
"Dussia lehmannii","Bagatá; Embagatao | Bagata"
"Dussia macroprophyllata","Bagatá; Ubre de vaca; Leguminosae Imparipinada Hoja Grande; Bagata"
"Dussia martinicensis",""
"Dussia mexicana","Palo de burra, Palo de burro, Palo de zopilote; tassitle, palo de burra, palo blanco"
"Dussia sanguinea",""
"Dussia tessmannii","Savia roja"
"Dutailliopsis gordonii",""
"Dutaillyea amosensis",""
"Dutaillyea trifoliolata",""
"Dyera costulata",""
"Dyera polyphylla","Jelutung | jelutung rawa | jelutung paya | pantung"
"Dyerophytum pendulum",""
"Dysosma versipellis",""
"Dysoxylum acutangulum","Dysoxylum"
"Dysoxylum brachybotrys",""
"Dysoxylum carolinae",""
"Dysoxylum cyrtobotryum",""
"Dysoxylum enantiophyllum",""
"Dysoxylum excelsum",""
"Dysoxylum flavescens",""
"Dysoxylum gotadhora",""
"Dysoxylum grande",""
"Dysoxylum hoaense",""
"Dysoxylum kaniense",""
"Dysoxylum latifolium","Dysoxylum"
"Dysoxylum laxiracemosum",""
"Dysoxylum macrocarpum",""
"Dysoxylum magnificum",""
"Dysoxylum malabaricum",""
"Dysoxylum medogense",""
"Dysoxylum middletonianum",""
"Dysoxylum mollissimum",""
"Dysoxylum oppositifolium","Pink Mahogany"
"Dysoxylum pachyrhache",""
"Dysoxylum pallens",""
"Dysoxylum poilanei",""
"Dysoxylum pumilum",""
"Dysoxylum quadrangulatum",""
"Dysoxylum rugulosum",""
"Dystovomita clusiifolia","Carbonero | Chagualo | Naidi"
"Dystovomita paniculata","Sin nombre comun"
"Ebenopsis caesalpinioides",""
"Ebenopsis confinis","palo fierro; Palo fierro"
"Ebenopsis ebano","Guaypinole-tempisque, Guapinoli, Katzin, Pinole, acte (Huasteco), acté (Lacandón), ajcte (Huasteco), espinosa, kaante' (Maya), mezquite, ya'ax-k' iik (Maya), ya'ax-k'iik (Maya), ébano; acte (Huasteco), acté (Lacandón), ajcte (Huasteco), espinosa, kaante' (Maya), mezquite, ya'ax-k' iik (Maya), ya'ax-k'iik (Maya), ébano; acte (Huasteco), acté (Lacandón), ajcte (Huasteco), ebano, espinosa, kaante' (Maya), mezquite, ya'ax-k' iik (Maya), ya'ax-k'iik (Maya); tinta kaba, acte (Huasteco), acté (Lacandón), ajcte (Huasteco), espinosa, kaante' (Maya), mezquite, ya'ax-k' iik (Maya), ya'ax-k'iik (Maya), ébano"
"Eberhardtia aurata",""
"Eberhardtia tonkinensis",""
"Ecclinusa bullata",""
"Ecclinusa dumetorum",""
"Ecclinusa guianensis",""
"Ecclinusa lanceolata","Lirio blanco"
"Ecclinusa lancifolia",""
"Ecclinusa psilophylla",""
"Ecclinusa ramiflora",""
"Ecclinusa ulei",""
"Echinopsis lageniformis",""
"Ecuadendron acosta-solisianum",""
"Edgeworthia gardneri",""
"Ehretia acuminata","Koda; Churnwood; 송양나무; チシャノキ"
"Ehretia amoena","Mvungaliza (zigua); Mkirika (vidunda)"
"Ehretia anacua","Anacua; Knockaway; capulín blanco, manzanilla, manzanillo, manzanita, palo chino, palo verde, raspa sombrero, thathub (Huasteco), tihute (Huasteco); palo chino; raspa sombrero, capulín blanco, manzanilla, manzanillo, manzanita, palo chino, palo verde, raspa sombrero, thathub (Huasteco), tihute (Huasteco)"
"Ehretia aspera",""
"Ehretia bakeri","Mlefu (sambaa)"
"Ehretia confinis",""
"Ehretia corylifolia",""
"Ehretia cymosa","Vunum; Mnyamasa (hehe); Muefu (sambaa); Mnemvu (chaga); Mtulangombe (pare); Bwomo (iraq); Landangananyu (Kiarusha)"
"Ehretia decaryi",""
"Ehretia densiflora",""
"Ehretia dichotoma",""
"Ehretia dicksonii",""
"Ehretia dunniana",""
"Ehretia hainanensis",""
"Ehretia javanica",""
"Ehretia latifolia","Santa innes, Santa ines, Topoya, Xtaray, Tepoyan, Tuminish, Confetillo, Bimbo, Palo de tuza, Santa Ines, b. jelchishté (Tseltal), capulincillo, capulín, capulín blanco, capulín cimarrón, confetillo, jelc'istez (Tseltal), manzanita, palo de tuza, palo prieto, trompillo; Santa Ines, b. jelchishté (Tseltal), capulincillo, capulín, capulín blanco, capulín cimarrón, confetillo, jelc'istez (Tseltal), manzanita, palo de tuza, palo prieto, trompillo; topayo, tupín, huamili, capulín cimarrón, manzanita, capulín blanco, b. jelchishté, capulín, palo prieto, topoya, jelc'istez, palo de tuza, capulincillo, tepoyo, trompillo, Santa Ines, confetillo, Santa Ines, b. jelchishté (Tseltal), capulincillo, capulín, capulín blanco, capulín cimarrón, confetillo, jelc'istez (Tseltal), manzanita, palo de tuza, palo prieto, trompillo; jel ch'ixte', Santa Ines, b. jelchishté (Tseltal), capulincillo, capulín, capulín blanco, capulín cimarrón, confetillo, jelc'istez (Tseltal), manzanita, palo de tuza, palo prieto, trompillo; topayo, tupín, huamili, capulín cimarrón, capulín blanco, palo prieto, manzanita, Santa Ines, topoya, confetillo, capulincillo, tepoyo, jelc'istez, trompillo, capulín, palo de tuza, b. jelchishté, Santa Ines, b. jelchishté (Tseltal), capulincillo, capulín, capulín blanco, capulín cimarrón, confetillo, jelc'istez (Tseltal), manzanita, palo de tuza, palo prieto, trompillo"
"Ehretia longiflora",""
"Ehretia macrophylla",""
"Ehretia meyersii",""
"Ehretia obtusifolia",""
"Ehretia parallela",""
"Ehretia philippinensis","リュウキュウチシャノキ"
"Ehretia phillipsonii",""
"Ehretia pingbianensis",""
"Ehretia resinosa",""
"Ehretia rigida",""
"Ehretia saligna","Peach Bush; Coonta; Ehretia"
"Ehretia scrobiculata",""
"Ehretia seyrigii",""
"Ehretia tinifolia","rayado, Roble beek, Trueno de la india, Yag-mandim, yag-meguid, im, colorín rayado, Madimbo, Madibui, Mandiba, macho, Frutillo, Roble, Palo verde, Beek, Be-ek, Beec, Bec, Beeb, Bee-roble, Bek, Beek-roble, Beek roble, Beh, Box bek, Pingüica, be-ek (Maya), bec (Maya), beck (Maya), bee-roble (Maya), beeb (Maya), beec (Maya), beek (Maya), beek-roble (Maya), bek (Maya), borrego, borreguillo, camote matapescado, capulín cimarrón, cerezo, frutillo, im (Zapoteco), malinche, mandimbo, manzana, manzanilla, manzanita, manzano, manzano coposo, naranjillo, palo prieto, palo verde, pingüica, pingüico, rayado, roble, roble beek (Maya), saúco, t'iiw te' (Huasteco), toronjil, trueno, yag-mandim (Zapoteco), yag-meguid (Zapoteco), zacate espinilla; be-ek (Maya), bec (Maya), beck (Maya), bee-roble (Maya), beeb (Maya), beec (Maya), beek (Maya), beek-roble (Maya), bek (Maya), borrego, borreguillo, camote matapescado, capulín cimarrón, cerezo, frutillo, im (Zapoteco), malinche, mandimbo, manzana, manzanilla, manzanita, manzano, manzano coposo, naranjillo, palo prieto, palo verde, pingüica, pingüico, rayado, roble, roble beek (Maya), saúco, t'iiw te' (Huasteco), toronjil, trueno, yag-mandim (Zapoteco), yag-meguid (Zapoteco), zacate espinilla; mandimbo, be-ek (Maya), bec (Maya), beck (Maya), bee-roble (Maya), beeb (Maya), beec (Maya), beek (Maya), beek-roble (Maya), bek (Maya), borrego, borreguillo, camote matapescado, capulín cimarrón, cerezo, frutillo, im (Zapoteco), malinche, mandimbo, manzana, manzanilla, manzanita, manzano, manzano coposo, naranjillo, palo prieto, palo verde, pingüica, pingüico, rayado, roble, roble beek (Maya), saúco, t'iiw te' (Huasteco), toronjil, trueno, yag-mandim (Zapoteco), yag-meguid (Zapoteco), zacate espinilla; zacate espinilla, manzano coposo, t'iiw te', borreguillo, pinicua, pingüica, quilalinacate, sauco, nadimbo, manzana, manzano, capulín cimarrón, camote matapescado, manzanilla, frutillo, nambimbo, lambimbo, yag-meguid, bimbo, yag-mandim, beeb, bec, madimba, roble beek, beck, roble, naranjillo, palo verde, manzanita, palo prieto, beec, pingüico, mandimbo, mambimbo, im, trueno, cerezo, beek, bek, beek-roble, bee-roble, toronjil, be-ek, rayado, be-ek (Maya), bec (Maya), beck (Maya), bee-roble (Maya), beeb (Maya), beec (Maya), beek (Maya), beek-roble (Maya), bek (Maya), borrego, borreguillo, camote matapescado, capulín cimarrón, cerezo, frutillo, im (Zapoteco), malinche, mandimbo, manzana, manzanilla, manzanita, manzano, manzano coposo, naranjillo, palo prieto, palo verde, pingüica, pingüico, rayado, roble, roble beek (Maya), saúco, t'iiw te' (Huasteco), toronjil, trueno, yag-mandim (Zapoteco), yag-meguid (Zapoteco), zacate espinilla; frutillo, be-ek (Maya), bec (Maya), beck (Maya), bee-roble (Maya), beeb (Maya), beec (Maya), beek (Maya), beek-roble (Maya), bek (Maya), borrego, borreguillo, camote matapescado, capulín cimarrón, cerezo, frutillo, im (Zapoteco), malinche, mandimbo, manzana, manzanilla, manzanita, manzano, manzano coposo, naranjillo, palo prieto, palo verde, pingüica, pingüico, rayado, roble, roble beek (Maya), saúco, t'iiw te' (Huasteco), toronjil, trueno, yag-mandim (Zapoteco), yag-meguid (Zapoteco), zacate espinilla; frutillo; palo verde, be-ek (Maya), bec (Maya), beck (Maya), bee-roble (Maya), beeb (Maya), beec (Maya), beek (Maya), beek-roble (Maya), bek (Maya), borrego, borreguillo, camote matapescado, capulín cimarrón, cerezo, frutillo, im (Zapoteco), malinche, mandimbo, manzana, manzanilla, manzanita, manzano, manzano coposo, naranjillo, palo prieto, palo verde, pingüica, pingüico, rayado, roble, roble beek (Maya), saúco, t'iiw te' (Huasteco), toronjil, trueno, yag-mandim (Zapoteco), yag-meguid (Zapoteco), zacate espinilla; palo verde; bec; roble, be-ek (Maya), bec (Maya), beck (Maya), bee-roble (Maya), beeb (Maya), beec (Maya), beek (Maya), beek-roble (Maya), bek (Maya), borrego, borreguillo, camote matapescado, capulín cimarrón, cerezo, frutillo, im (Zapoteco), malinche, mandimbo, manzana, manzanilla, manzanita, manzano, manzano coposo, naranjillo, palo prieto, palo verde, pingüica, pingüico, rayado, roble, roble beek (Maya), saúco, t'iiw te' (Huasteco), toronjil, trueno, yag-mandim (Zapoteco), yag-meguid (Zapoteco), zacate espinilla"
"Ehretia trachyphylla",""
"Ehretia tsangii",""
"Ehretia wallichiana",""
"Eidothea hardeniana","Nightcap Oak"
"Eirmocephala megaphylla",""
"Ekebergia benguelensis",""
"Ekebergia capensis","Fula pulaar (senegal); Fula pulaar (Senegal); ekem [yaoundé] | nunkul [bassa]"
"Ekebergia pterophylla",""
"Ekmanianthe actinophylla",""
"Ekmanianthe longiflora",""
"Elachyptera floribunda",""
"Elachyptera parvifolia","Nangugwa(kimwera)"
"Elaeagia alterniramosa",""
"Elaeagia asperula",""
"Elaeagia auriculata",""
"Elaeagia barbata",""
"Elaeagia chiriquina",""
"Elaeagia ecuadorensis",""
"Elaeagia glossostipula",""
"Elaeagia grandis",""
"Elaeagia karstenii","Barniz de pasto; Copal"
"Elaeagia laxiflora",""
"Elaeagia magniflora",""
"Elaeagia maguirei",""
"Elaeagia mariae",""
"Elaeagia microcarpa",""
"Elaeagia myriantha","Pantano blanco | Pantanito | Quina; Marfil | brasilete | quina; Caimito"
"Elaeagia nitidifolia",""
"Elaeagia pastoensis","Barniz de pasto; Barniz | Barniz de pasto | Cera de rayo; Mopa - mopa; Lacre | Rayo"
"Elaeagia ruizteranii",""
"Elaeagia utilis","Azuceno | Copal | Barniz | Azuceno de cera | Pega-pega | Barniz de pasto | Resume | Resune"
"Elaeagnus angustifolia","Oleaster; smalbladig silverbuske; Smalle olijfwilg; Лох узколистный, Лох обыкновенный; Лох восточный; Лох узколистный; トウグミ; Russian Olive; Russian olive; olivier de Bohême | Russian olive; Olivier de Bohême; oleaster;Russian olive;Russian-olive;Trebizond-date"
"Elaeagnus bockii",""
"Elaeagnus bonii","Лох"
"Elaeagnus caudata",""
"Elaeagnus cinnamomifolia",""
"Elaeagnus conferta",""
"Elaeagnus courtoisii",""
"Elaeagnus delavayi","Лох"
"Elaeagnus difficilis",""
"Elaeagnus gonyanthes",""
"Elaeagnus griffithii",""
"Elaeagnus grijsii",""
"Elaeagnus henryi",""
"Elaeagnus jingdonensis",""
"Elaeagnus lanceolata",""
"Elaeagnus lanpingensis",""
"Elaeagnus latifolia",""
"Elaeagnus longiloba",""
"Elaeagnus loureiroi",""
"Elaeagnus luxiensis",""
"Elaeagnus macrantha",""
"Elaeagnus magna",""
"Elaeagnus micrantha",""
"Elaeagnus multiflora","ナツグミ; ホソバナツグミ; マルバナツグミ; Langstelige olijfwilg"
"Elaeagnus oldhamii",""
"Elaeagnus pallidiflora",""
"Elaeagnus pilostyla",""
"Elaeagnus pungens","Spiny Oleaster; Лох колючий; ナワシログミ; Thorny Olive; Stekelige olijfwilg"
"Elaeagnus sarmentosa",""
"Elaeagnus stellipila",""
"Elaeagnus taliensis",""
"Elaeagnus tonkinensis",""
"Elaeagnus tubiflora",""
"Elaeagnus viridis",""
"Elaeagnus wenshanensis",""
"Elaeagnus xichouensis",""
"Elaeagnus xingwenensis",""
"Elaeagnus yunnanensis",""
"Elaeocarpus acmocarpus",""
"Elaeocarpus acrantherus",""
"Elaeocarpus acronodia",""
"Elaeocarpus alaternoides",""
"Elaeocarpus alnifolius",""
"Elaeocarpus altigenus",""
"Elaeocarpus altisectus",""
"Elaeocarpus amplifolius",""
"Elaeocarpus angustifolius","Blue Quandong; Elaeocarpus; Indian beech"
"Elaeocarpus angustipes",""
"Elaeocarpus arfakensis",""
"Elaeocarpus argenteus",""
"Elaeocarpus aristatus",""
"Elaeocarpus arnhemicus","Elaeocarpus"
"Elaeocarpus atropunctatus",""
"Elaeocarpus auricomus",""
"Elaeocarpus austroyunnanensis",""
"Elaeocarpus bachmaensis",""
"Elaeocarpus bakaianus",""
"Elaeocarpus balansae",""
"Elaeocarpus balgooyi",""
"Elaeocarpus bancroftii","Nutwood"
"Elaeocarpus baramii",""
"Elaeocarpus barbulatus",""
"Elaeocarpus batudulangii",""
"Elaeocarpus batui",""
"Elaeocarpus baudouinii",""
"Elaeocarpus beccarii",""
"Elaeocarpus bidupensis",""
"Elaeocarpus bifidus",""
"Elaeocarpus biflorus",""
"Elaeocarpus bilobatus",""
"Elaeocarpus bilongvinas",""
"Elaeocarpus blepharoceras",""
"Elaeocarpus bojeri",""
"Elaeocarpus braceanus",""
"Elaeocarpus brachypodus",""
"Elaeocarpus brachystachyus",""
"Elaeocarpus bracteatus",""
"Elaeocarpus branderhorstii",""
"Elaeocarpus brunneotomentosus",""
"Elaeocarpus brunnescens",""
"Elaeocarpus buderi",""
"Elaeocarpus bullatus",""
"Elaeocarpus burebidensis",""
"Elaeocarpus calomala",""
"Elaeocarpus candollei",""
"Elaeocarpus capuronii",""
"Elaeocarpus carolinae","Quandong"
"Elaeocarpus carolinensis",""
"Elaeocarpus castaneifolius",""
"Elaeocarpus celebicus",""
"Elaeocarpus ceylanicus",""
"Elaeocarpus chinensis",""
"Elaeocarpus chrysophyllus",""
"Elaeocarpus clementis",""
"Elaeocarpus colnettianus",""
"Elaeocarpus coloides",""
"Elaeocarpus comptonii",""
"Elaeocarpus conoideus",""
"Elaeocarpus coorangooloo","Brown Quandong"
"Elaeocarpus corallococcus",""
"Elaeocarpus costatus",""
"Elaeocarpus coumbouiensis",""
"Elaeocarpus crassinervatus",""
"Elaeocarpus cristatus",""
"Elaeocarpus cuernosensis",""
"Elaeocarpus culminicola","Elaeocarpus"
"Elaeocarpus cumingii",""
"Elaeocarpus cupreus",""
"Elaeocarpus curranii",""
"Elaeocarpus dasycarpus",""
"Elaeocarpus debruynii",""
"Elaeocarpus densiflorus",""
"Elaeocarpus dentatus","Hangehange; Hīnau | whinau"
"Elaeocarpus dictyophlebius",""
"Elaeocarpus dognyensis",""
"Elaeocarpus dolichobotrys",""
"Elaeocarpus dolichodactylus",""
"Elaeocarpus dolichostylus",""
"Elaeocarpus dubius",""
"Elaeocarpus duclouxii",""
"Elaeocarpus elliffii","Quandong"
"Elaeocarpus erdinii",""
"Elaeocarpus eumundi","Eumundi Quandong"
"Elaeocarpus euneurus",""
"Elaeocarpus eymae",""
"Elaeocarpus ferrugineus",""
"Elaeocarpus ferruginiflorus","Quandong"
"Elaeocarpus filiformidentatus",""
"Elaeocarpus firdausii",""
"Elaeocarpus fleuryi",""
"Elaeocarpus floresii",""
"Elaeocarpus floribundus",""
"Elaeocarpus floridanus","Karaka Rarotonga | Rarotonga Elaeocarpus"
"Elaeocarpus forbesii",""
"Elaeocarpus foveolatus","Quandong"
"Elaeocarpus foxworthyi",""
"Elaeocarpus fraseri",""
"Elaeocarpus fuscoides",""
"Elaeocarpus gambutanus",""
"Elaeocarpus geminiflorus",""
"Elaeocarpus gigantifolius",""
"Elaeocarpus glaber",""
"Elaeocarpus glaberrimus",""
"Elaeocarpus glabripetalus",""
"Elaeocarpus gordonii",""
"Elaeocarpus grahamii","Quandong"
"Elaeocarpus grandiflorus",""
"Elaeocarpus griffithii",""
"Elaeocarpus guillaumii",""
"Elaeocarpus gummatus",""
"Elaeocarpus gustaviifolius",""
"Elaeocarpus gymnogynus",""
"Elaeocarpus habbemensis",""
"Elaeocarpus hainanensis",""
"Elaeocarpus halconensis",""
"Elaeocarpus hallieri",""
"Elaeocarpus harmandii",""
"Elaeocarpus hartleyi",""
"Elaeocarpus harunii",""
"Elaeocarpus heptadactyloides",""
"Elaeocarpus hildebrandtii",""
"Elaeocarpus hochreutineri",""
"Elaeocarpus holopetalus","Black Oliveberry"
"Elaeocarpus homalioides",""
"Elaeocarpus hookerianus","pokaka | mahimahi | puka | whinau"
"Elaeocarpus hortensis",""
"Elaeocarpus howii",""
"Elaeocarpus hygrophilus",""
"Elaeocarpus hylobroma",""
"Elaeocarpus integripetalus",""
"Elaeocarpus jacobsii",""
"Elaeocarpus japonicus",""
"Elaeocarpus johnsonii","Kuranda Quandong"
"Elaeocarpus jugahanus",""
"Elaeocarpus kaalensis",""
"Elaeocarpus kalabitii",""
"Elaeocarpus kaniensis",""
"Elaeocarpus kerstingianus",""
"Elaeocarpus kinabaluensis",""
"Elaeocarpus kirtonii","Silver Quandong"
"Elaeocarpus knuthii",""
"Elaeocarpus kontumensis",""
"Elaeocarpus kostermansii",""
"Elaeocarpus kusanoi",""
"Elaeocarpus lacunosus",""
"Elaeocarpus lagunensis",""
"Elaeocarpus lanceifolius",""
"Elaeocarpus laoticus",""
"Elaeocarpus largiflorens","Tropical Quandong; Quandong"
"Elaeocarpus ledermannii",""
"Elaeocarpus leopoldii",""
"Elaeocarpus lepidus",""
"Elaeocarpus leratii",""
"Elaeocarpus leucanthus",""
"Elaeocarpus limitaneoides",""
"Elaeocarpus limitaneus",""
"Elaeocarpus lingualis",""
"Elaeocarpus linnaei",""
"Elaeocarpus linsmithii","Quandong"
"Elaeocarpus longifolius",""
"Elaeocarpus macranthus",""
"Elaeocarpus macrocarpus",""
"Elaeocarpus macrocerus",""
"Elaeocarpus macropus",""
"Elaeocarpus mandiae",""
"Elaeocarpus marafunganus",""
"Elaeocarpus marginatus",""
"Elaeocarpus mastersii",""
"Elaeocarpus merrittii",""
"Elaeocarpus miegei","Elaeocarpus"
"Elaeocarpus millarii",""
"Elaeocarpus mindoroensis",""
"Elaeocarpus mollis",""
"Elaeocarpus monocera",""
"Elaeocarpus moratii",""
"Elaeocarpus multiflorus",""
"Elaeocarpus multinervosus",""
"Elaeocarpus multisectus",""
"Elaeocarpus muluensis",""
"Elaeocarpus murudensis",""
"Elaeocarpus murukkai",""
"Elaeocarpus mutabilis",""
"Elaeocarpus myrmecophilus",""
"Elaeocarpus myrtoides",""
"Elaeocarpus nanus",""
"Elaeocarpus neobritannicus",""
"Elaeocarpus nitentifolius",""
"Elaeocarpus nitidus",""
"Elaeocarpus nodosus",""
"Elaeocarpus nooteboomii",""
"Elaeocarpus nouhuysii",""
"Elaeocarpus obovatus","Hard Quandong"
"Elaeocarpus obtusus",""
"Elaeocarpus octopetalus",""
"Elaeocarpus oriomensis",""
"Elaeocarpus ornatus",""
"Elaeocarpus ovigerus",""
"Elaeocarpus pachyanthus",""
"Elaeocarpus pachyophrys",""
"Elaeocarpus palembanicus",""
"Elaeocarpus pedunculatus",""
"Elaeocarpus perrieri",""
"Elaeocarpus petiolatus",""
"Elaeocarpus pierrei",""
"Elaeocarpus piestocarpus",""
"Elaeocarpus poculifer",""
"Elaeocarpus poilanei",""
"Elaeocarpus polyandrus",""
"Elaeocarpus polydactylus",""
"Elaeocarpus polystachyus",""
"Elaeocarpus prunifolioides",""
"Elaeocarpus prunifolius",""
"Elaeocarpus pseudopaniculatus",""
"Elaeocarpus ptilanthus",""
"Elaeocarpus pullenii",""
"Elaeocarpus purus",""
"Elaeocarpus pycnanthus",""
"Elaeocarpus renae",""
"Elaeocarpus reticosus",""
"Elaeocarpus reticulatus","Blueberry Ash"
"Elaeocarpus roslii",""
"Elaeocarpus rotundifolius",""
"Elaeocarpus rubescens",""
"Elaeocarpus rufovestitus",""
"Elaeocarpus rugosus",""
"Elaeocarpus ruminatus","Brown Quandong"
"Elaeocarpus rumphii",""
"Elaeocarpus sadikanensis",""
"Elaeocarpus sarcanthus",""
"Elaeocarpus sayeri",""
"Elaeocarpus schlechterianus",""
"Elaeocarpus schoddei",""
"Elaeocarpus sepikanus",""
"Elaeocarpus sericoloides",""
"Elaeocarpus sericopetalus","Northern Quandong"
"Elaeocarpus seringii",""
"Elaeocarpus serratus","Ceylon olive"
"Elaeocarpus sikkimensis",""
"Elaeocarpus simaluensis",""
"Elaeocarpus speciosus",""
"Elaeocarpus sphaerocarpus",""
"Elaeocarpus stellaris","Quandong"
"Elaeocarpus steupii",""
"Elaeocarpus stipularis",""
"Elaeocarpus storckii",""
"Elaeocarpus submonoceras",""
"Elaeocarpus subserratus",""
"Elaeocarpus sylvestris","담팔수"
"Elaeocarpus symingtonii",""
"Elaeocarpus takolensis",""
"Elaeocarpus tariensis",""
"Elaeocarpus teysmannii",""
"Elaeocarpus thelmae","Quandong"
"Elaeocarpus timikensis",""
"Elaeocarpus toninensis",""
"Elaeocarpus tonkinensis",""
"Elaeocarpus tremulus",""
"Elaeocarpus trichophyllus",""
"Elaeocarpus truncatus",""
"Elaeocarpus tuasivicus",""
"Elaeocarpus tuberculatus",""
"Elaeocarpus ulianus",""
"Elaeocarpus undulatus",""
"Elaeocarpus valetonii",""
"Elaeocarpus validus",""
"Elaeocarpus variabilis",""
"Elaeocarpus varunua",""
"Elaeocarpus venosus",""
"Elaeocarpus verheijenii",""
"Elaeocarpus verruculosus",""
"Elaeocarpus verticillatus",""
"Elaeocarpus vieillardii",""
"Elaeocarpus weibelianus",""
"Elaeocarpus whartonensis",""
"Elaeocarpus williamsianus","Hairy Quandong"
"Elaeocarpus womersleyi",""
"Elaeocarpus yateensis",""
"Elaeodendron croceum",""
"Elaeodendron cunninghamii",""
"Elaeodendron curtipendulum","Tamana"
"Elaeodendron matabelicum",""
"Elaeodendron paniculatum",""
"Elaeodendron pininsulare",""
"Elaeodendron schlechterianum","Mtwilankolo(Ramba)"
"Elaeodendron viburnifolium",""
"Elaeodendron xylocarpum","Zachechachen, Zachechechen, Capulín de chivo, chooch kitam (Maya), sak boob (Maya), sak cheechem (Maya); Laurelillo, Palo yuco, chooch kitam (Maya), sak boob (Maya), sak cheechem (Maya); chooch kitam (Maya), sak boob (Maya), sak cheechem (Maya)"
"Elaeoluma crispa",""
"Elaeoluma glabrescens",""
"Elaeoluma nuda",""
"Elaeoluma schomburgkiana",""
"Elateriospermum tapos",""
"Elattostachys aiyurensis",""
"Elattostachys angulosa",""
"Elattostachys apetala",""
"Elattostachys dzumacensis",""
"Elattostachys erythrocarpa",""
"Elattostachys globosa",""
"Elattostachys goropuensis",""
"Elattostachys incisa",""
"Elattostachys megalantha",""
"Elattostachys microcarpa","Scrub Tamarind"
"Elattostachys nervosa","Beetroot Tree"
"Elattostachys obliquinervis",""
"Elattostachys rubrofructus",""
"Elattostachys venosus",""
"Elattostachys verrucosa",""
